lam	RPoly1	RPoly2	RPoly3	RPoly4	RPoly5	RPoly6	RPoly7	RPoly8	RPoly9	RPoly11
1800	22.4274807	8.190777779	8.670883179	9.320105553	9.106175423	12.79487801	9.820193291	6.46260643	8.090185165	8.150179863
1796	22.55866051	8.159773827	8.661500931	9.264116287	9.105583191	12.7413969	9.757202148	6.472407818	8.08081913	8.101667404
1792	22.74515724	8.138091087	8.674780846	9.236954689	9.129191399	12.70785427	9.720254898	6.491905689	8.10669136	8.082562447
1788	22.95518112	8.130632401	8.697404861	9.220228195	9.160604477	12.68680096	9.690201759	6.51346302	8.133211136	8.065853119
1784	23.16249466	8.124781609	8.718485832	9.203975677	9.194758415	12.6663599	9.655605316	6.539885998	8.167874336	8.049803734
1780	23.36667824	8.120238304	8.739811897	9.183437347	9.221491814	12.64267826	9.625198364	6.616913795	8.201534271	8.031259537
1776	23.56002235	8.108686447	8.760719299	9.159899712	9.248338699	12.61525249	9.593519211	6.727269173	8.230257034	8.014750481
1772	23.75326347	8.093848228	8.78176403	9.139141083	9.273748398	12.58759689	9.552711487	6.858615875	8.257802963	7.98824358
1768	23.93595886	8.085891724	8.800514221	9.112441063	9.297111511	12.55372143	9.52534771	7.009667873	8.294618607	7.965270519
1764	24.12036324	8.083402634	8.806743622	9.079417229	9.313352585	12.51917076	9.482510567	7.184644222	8.316289902	7.936783314
1760	24.2938385	8.066095352	8.829927444	9.051467896	9.328172684	12.48445511	9.442297935	7.388836861	8.346137047	7.916106701
1756	24.46581268	8.054406166	8.840796471	9.019441605	9.339676857	12.44543934	9.405643463	7.60406971	8.36992836	7.885373592
1752	24.62919998	8.045772552	8.853802681	8.981698036	9.351556778	12.40427494	9.358963013	7.846899509	8.402025223	7.85637188
1748	24.79497147	8.038586617	8.86707592	8.946873665	9.358462334	12.36196232	9.313159943	8.101956367	8.42525959	7.828241825
1744	24.95474434	8.027927399	8.880338669	8.914634705	9.36465168	12.31850338	9.271389008	8.371259689	8.446713448	7.806457043
1740	25.10886765	8.018969536	8.893945694	8.881128311	9.366685867	12.27447033	9.227342606	8.659999847	8.470516205	7.771539211
1736	25.2621994	8.003217697	8.898346901	8.83197403	9.3760252	12.23045254	9.176787376	8.95151329	8.498327255	7.736095428
1732	25.40462875	7.995072365	8.904772758	8.790042877	9.37008667	12.17405319	9.131537437	9.258769989	8.518587112	7.703593731
1728	25.54956818	7.980062962	8.913471222	8.752613068	9.371632576	12.12790203	9.082262039	9.574934959	8.541484833	7.668589592
1724	25.69024658	7.96663332	8.915019035	8.705377579	9.36575985	12.07871246	9.029533386	9.907674789	8.567332268	7.637475967
1720	25.82404327	7.958864689	8.919734001	8.655026436	9.356732368	12.02254009	8.98039341	10.22490692	8.592313766	7.603787422
1716	25.95901108	7.944183826	8.922956467	8.609883308	9.349517822	11.97333336	8.929121971	10.53896999	8.610301018	7.574328899
1712	26.0908699	7.937244892	8.929424286	8.565270424	9.341770172	11.91452599	8.874786377	10.85448074	8.637716293	7.541985035
1708	26.22180176	7.928303719	8.934522629	8.517156601	9.335515976	11.86932945	8.821648598	11.16181469	8.659031868	7.506187439
1704	26.35142899	7.919043064	8.938275337	8.476701736	9.322854996	11.81374168	8.769635201	11.45671749	8.686876297	7.473359108
1700	26.47884941	7.913339615	8.942202568	8.434354782	9.32166481	11.75899696	8.719512939	11.74525452	8.715884209	7.440914154
1696	26.6064682	7.90559721	8.945750237	8.382927895	9.315858841	11.7066555	8.671066284	12.0233202	8.746053696	7.413587093
1692	26.71529961	7.897225857	8.953178406	8.33825779	9.29619503	11.64945889	8.607976913	12.30265808	8.772155762	7.380353451
1688	26.8294239	7.897885323	8.950468063	8.290493965	9.279391289	11.58774662	8.562868118	12.58436775	8.795725822	7.3546772
1684	26.93905067	7.890544415	8.95341301	8.240298271	9.267357826	11.5305624	8.507540703	12.86857224	8.824367523	7.33014679
1680	27.04040909	7.882604122	8.954026222	8.195845604	9.251242638	11.47804451	8.449199677	13.16646099	8.856054306	7.298257351
1676	27.14193344	7.883978844	8.951159477	8.146089554	9.23832798	11.41388416	8.405357361	13.45674992	8.896391869	7.276960373
1672	27.23474693	7.881916046	8.960045815	8.097538948	9.215716362	11.35591125	8.34059906	13.78316498	8.922496796	7.257358074
1668	27.32256699	7.887350082	8.95123291	8.053937912	9.196322441	11.29986095	8.294416428	14.1358366	8.952058792	7.231283188
1664	27.41238213	7.878758907	8.955334663	7.999186039	9.178206444	11.23928928	8.237092972	14.47042084	8.990960121	7.21407938
1660	27.49299049	7.875483513	8.960401535	7.946900845	9.157058716	11.18018627	8.179310799	14.82977486	9.018065453	7.20340538
1656	27.57131195	7.889312267	8.961648941	7.908404827	9.141306877	11.12118626	8.128789902	15.1544199	9.057295799	7.185236454
1652	27.68410492	7.886565685	8.95495224	7.861041069	9.122404099	11.07111073	8.080147743	15.41482067	9.099077225	7.172397614
1648	27.80779076	7.901097775	8.983231544	7.831385612	9.118632317	11.02174854	8.039272308	15.63094521	9.154799461	7.170782566
1644	27.88124275	7.917246342	8.993323326	7.790383816	9.106076241	10.96675873	7.990231514	15.78690434	9.211470604	7.172021866
1640	28.00047874	7.92591238	8.991733551	7.754348755	9.099113464	10.91819572	7.948262215	15.875103	9.256280899	7.169760704
1636	28.07686806	7.935430527	8.999550819	7.709338665	9.082299232	10.86252499	7.893613338	15.96859169	9.311645508	7.171410084
1632	28.14662552	7.959697723	9.008298874	7.662781239	9.054995537	10.80430317	7.85295248	16.03989029	9.351557732	7.16655159
1628	28.22223663	7.952837944	8.99655056	7.626046181	9.028181076	10.75334358	7.79859972	16.0852356	9.400218964	7.155424118
1624	28.26033401	7.975941658	9.00652504	7.568120956	9.002239227	10.68843842	7.743906975	16.13875771	9.430158615	7.15577507
1620	28.33521652	7.97898674	9.001211166	7.52302599	8.966032028	10.63840961	7.698358536	16.17951584	9.485799789	7.162099361
1616	28.35958862	7.998167515	8.993650436	7.480142117	8.942501068	10.57948208	7.63892889	16.23356628	9.516040802	7.150989056
1612	28.41642189	8.001434326	8.994524002	7.421489239	8.90674305	10.52366066	7.595236778	16.26094627	9.569105148	7.154257774
1608	28.44426346	8.028009415	8.98668766	7.377907276	8.868268967	10.46991634	7.528484344	16.29672241	9.606524467	7.162703991
1604	28.47472572	8.040345192	8.995038033	7.328118801	8.832839012	10.41772747	7.486695766	16.34900475	9.651295662	7.167759418
1600	28.51008987	8.053751945	8.976837158	7.284799099	8.79761219	10.35502911	7.429403782	16.36317825	9.700141907	7.178192139
1596	28.51517105	8.07903862	8.982758522	7.234323502	8.757042885	10.30351734	7.384373188	16.42557526	9.749437332	7.190014362
1592	28.55331421	8.083314896	8.975908279	7.184537411	8.72413063	10.24992371	7.328505039	16.45578194	9.783489227	7.201147079
1588	28.55819321	8.112750053	8.970370293	7.144603729	8.675729752	10.20050716	7.283441544	16.48298454	9.839802742	7.224919796
1584	28.55874252	8.145953178	8.969177246	7.090025425	8.649777412	10.1443491	7.238305092	16.54860687	9.89122963	7.236687183
1580	28.57126808	8.154652596	8.949682236	7.046300888	8.596541405	10.10066509	7.190971375	16.56826591	9.945352554	7.253846169
1576	28.57755661	8.17899704	8.950509071	6.999895096	8.559120178	10.04931641	7.142210484	16.61546707	9.990520477	7.276174545
1572	28.5590229	8.214725494	8.954972267	6.967387199	8.521368027	9.996152878	7.09012413	16.66029549	10.04115677	7.304347992
1568	28.53316116	8.250161171	8.941862106	6.920572281	8.464063644	9.951243401	7.046504021	16.68663979	10.08351421	7.327433109
1564	28.52829361	8.267741203	8.927736282	6.870398998	8.425577164	9.905297279	7.006549835	16.72225189	10.14701366	7.361434937
1560	28.51859474	8.296040535	8.929594994	6.83089447	8.392253876	9.859909058	6.955265522	16.77083015	10.19925022	7.383146286
1556	28.48493767	8.325679779	8.930389404	6.79402256	8.334511757	9.812437057	6.911976337	16.80150414	10.26659966	7.413069725
1552	28.44760704	8.358524323	8.913597107	6.74909687	8.282637596	9.774057388	6.870596886	16.80431175	10.31219769	7.453142643
1548	28.3967762	8.402855873	8.900470734	6.703916073	8.248276711	9.728189468	6.825581074	16.85372353	10.37047005	7.483663559
1544	28.34749603	8.437726974	8.889576912	6.66039753	8.19575119	9.684822083	6.783776283	16.86693001	10.42289448	7.524132252
