lam	POLY1	POLY2	POLY3	POLY4	POLY5	POLY6	POLY7	POLY8	POLY9	POLY11
1800	76.36504364	89.36142731	89.69339752	88.91389465	76.31303406	85.53694153	88.50791168	88.45380402	89.75122833	87.23615265
1796	76.18209839	89.40422821	89.71349335	88.97400665	76.30603027	85.58612061	88.57830811	88.43817139	89.75673676	87.30184174
1792	76.00276184	89.45723724	89.75075531	89.0483551	76.31517792	85.65176392	88.67227173	88.43641663	89.78022003	87.38039398
1788	75.82575989	89.50722504	89.76541138	89.10170746	76.30755615	85.69340515	88.74976349	88.41790771	89.78302765	87.4438858
1784	75.6618576	89.55166626	89.7826767	89.16391754	76.29518127	85.74242401	88.83163452	88.39724731	89.78781891	87.50443268
1780	75.47701263	89.56614685	89.7720108	89.20768738	76.26663208	85.77384949	88.88373566	88.3495636	89.77011108	87.54104614
1776	75.29523468	89.59466553	89.77719116	89.25710297	76.23041534	85.81249237	88.94734192	88.30870819	89.77019501	87.58539581
1772	75.14563751	89.62833405	89.77415466	89.32177734	76.2032547	85.86410522	89.02907562	88.28281403	89.7816925	87.64537811
1768	74.99086761	89.64653778	89.77248383	89.37725067	76.15815735	85.90142822	89.09608459	88.22939301	89.78407288	87.68650055
1764	74.82299805	89.65692139	89.7687912	89.42559052	76.11553955	85.93257904	89.15707397	88.17523956	89.77605438	87.72597504
1760	74.66752625	89.68157196	89.77110291	89.48866272	76.0920105	85.98596191	89.22717285	88.14586639	89.7718811	87.77024078
1756	74.50148773	89.69438934	89.7526474	89.52997589	76.07218933	86.01849365	89.2735672	88.09033966	89.75401306	87.81227112
1752	74.35076141	89.71439362	89.75351715	89.58158875	76.03643799	86.06169891	89.3303833	88.04995728	89.73627472	87.84739685
1748	74.18928528	89.72972107	89.74458313	89.63473511	76.00863647	86.10489655	89.37850952	88.02363586	89.71948242	87.89412689
1744	74.02996063	89.7461319	89.74732971	89.69693756	75.96505737	86.16353607	89.43081665	87.99692535	89.70069885	87.94112396
1740	73.87758636	89.76744843	89.74520874	89.75632477	75.93190765	86.19753265	89.47543335	87.9641037	89.66082001	87.97639465
1736	73.70659637	89.77812958	89.72978973	89.81784821	75.90487671	86.24169922	89.54043579	87.94221497	89.63043976	88.02021027
1732	73.52462769	89.7954483	89.72921753	89.86723328	75.8637085	86.29795837	89.6071701	87.91647339	89.61144257	88.05131531
1728	73.34103394	89.79088593	89.71477509	89.91158295	75.80780029	86.33301544	89.64575195	87.88491821	89.56826019	88.08755493
1724	73.18523407	89.81685638	89.72262573	89.9887619	75.77968597	86.39350891	89.70643616	87.866745	89.54627228	88.12703705
1720	73.00485229	89.82098389	89.71535492	90.02934265	75.72384644	86.43873596	89.75952911	87.82304382	89.49803162	88.15086365
1716	72.82407379	89.83055115	89.72136688	90.09526825	75.6709671	86.50132751	89.8141861	87.79736328	89.47251129	88.19256592
1712	72.66337585	89.86182404	89.73645782	90.17601776	75.64938354	86.5736084	89.8677063	87.78050995	89.45572662	88.2461319
1708	72.49812317	89.86827087	89.71579742	90.23433685	75.61421204	86.61159515	89.9032135	87.74323273	89.42973328	88.26329041
1704	72.35256958	89.88555145	89.71431732	90.28122711	75.58849335	86.65893555	89.9628067	87.70776367	89.4012146	88.27371979
